ticker,date,close_price
NVDA,2025-11-20,180.41
NVDA,2025-11-21,178.65
NVDA,2025-11-24,182.32
NVDA,2025-11-25,177.59
NVDA,2025-11-26,180.03
NVDA,2025-11-28,176.77
NVDA,2025-12-01,179.69
NVDA,2025-12-02,181.23
NVDA,2025-12-03,179.36
NVDA,2025-12-04,183.16
NVDA,2025-12-05,182.19
NVDA,2025-12-08,185.32
NVDA,2025-12-09,184.74
NVDA,2025-12-10,183.56
NVDA,2025-12-11,180.71
NVDA,2025-12-12,174.81
NVDA,2025-12-15,176.08
NVDA,2025-12-16,177.5
NVDA,2025-12-17,170.73
NVDA,2025-12-18,173.93
NVDA,2025-12-19,180.77
NVDA,2025-12-22,183.47
NVDA,2025-12-23,188.98
NVDA,2025-12-24,188.38
NVDA,2025-12-26,190.3
NVDA,2025-12-29,187.99
NVDA,2025-12-30,187.31
NVDA,2025-12-31,186.27
NVDA,2026-01-02,188.62
NVDA,2026-01-05,187.89
NVDA,2026-01-06,187.01
NVDA,2026-01-07,188.88
NVDA,2026-01-08,184.81
NVDA,2026-01-09,184.63
NVDA,2026-01-12,184.71
NVDA,2026-01-13,185.58
NVDA,2026-01-14,182.92
NVDA,2026-01-15,186.82
NVDA,2026-01-16,186.0
NVDA,2026-01-20,177.85
NVDA,2026-01-21,183.1
NVDA,2026-01-22,184.61
NVDA,2026-01-23,187.44
NVDA,2026-01-26,186.24
NVDA,2026-01-27,188.29
NVDA,2026-01-28,191.29
NVDA,2026-01-29,192.28
NVDA,2026-01-30,190.9
NVDA,2026-02-02,185.38
NVDA,2026-02-03,180.12
NVDA,2026-02-04,173.98
NVDA,2026-02-05,171.67
NVDA,2026-02-06,185.18
NVDA,2026-02-09,189.81
NVDA,2026-02-10,188.31
NVDA,2026-02-11,189.82
NVDA,2026-02-12,186.71
NVDA,2026-02-13,182.59
NVDA,2026-02-17,184.74
NVDA,2026-02-18,187.75
NVDA,2026-02-19,187.67
NVDA,2026-02-20,189.59
NVDA,2026-02-23,191.32
NVDA,2026-02-24,192.62
NVDA,2026-02-25,195.32
NVDA,2026-02-26,184.66
NVDA,2026-02-27,176.97
NVDA,2026-03-02,182.26
NVDA,2026-03-03,179.83
NVDA,2026-03-04,182.82
NVDA,2026-03-05,183.12
NVDA,2026-03-06,177.6
NVDA,2026-03-09,182.43
NVDA,2026-03-10,184.54
NVDA,2026-03-11,185.81
NVDA,2026-03-12,182.93
NVDA,2026-03-13,180.04
NVDA,2026-03-16,183.01
NVDA,2026-03-17,181.72
NVDA,2026-03-18,180.19
NVDA,2026-03-19,178.35
NVDA,2026-03-20,172.5
NVDA,2026-03-23,175.44
NVDA,2026-03-24,175.0
NVDA,2026-03-25,178.47
NVDA,2026-03-26,171.04
NVDA,2026-03-27,167.32
NVDA,2026-03-30,164.98
NVDA,2026-03-31,174.2
NVDA,2026-04-01,175.55
NVDA,2026-04-02,177.18
NVDA,2026-04-06,177.43
NVDA,2026-04-07,177.89
NVDA,2026-04-08,181.87
NVDA,2026-04-09,183.7
NVDA,2026-04-10,188.41
NVDA,2026-04-13,189.09
NVDA,2026-04-14,196.28
NVDA,2026-04-15,198.64
NVDA,2026-04-16,198.12
NVDA,2026-04-17,201.45
NVDA,2026-04-20,201.82
NVDA,2026-04-21,199.65
NVDA,2026-04-22,202.26
NVDA,2026-04-23,199.41
NVDA,2026-04-24,208.03
NVDA,2026-04-27,216.36
NVDA,2026-04-28,212.92
NVDA,2026-04-29,209.01
NVDA,2026-04-30,199.34
NVDA,2026-05-01,198.22
NVDA,2026-05-04,198.25
NVDA,2026-05-05,196.27
NVDA,2026-05-06,207.59
NVDA,2026-05-07,211.25
NVDA,2026-05-08,214.95
NVDA,2026-05-11,219.18
NVDA,2026-05-12,220.52
NVDA,2026-05-13,225.57
NVDA,2026-05-14,235.47
NVDA,2026-05-15,225.06
NVDA,2026-05-18,222.06
NVDA,2026-05-19,220.35
NVDA,2026-05-20,223.21
NVDA,2026-05-21,219.25
NVDA,2026-05-22,215.08
NVDA,2026-05-26,214.61
NVDA,2026-05-27,212.35
NVDA,2026-05-28,214.0
NVDA,2026-05-29,210.89
NVDA,2026-06-01,224.1
NVDA,2026-06-02,222.56
NVDA,2026-06-03,214.5
NVDA,2026-06-04,218.66
NVDA,2026-06-05,205.1
NVDA,2026-06-08,208.64
NVDA,2026-06-09,208.19
NVDA,2026-06-10,200.42
NVDA,2026-06-11,204.87
NVDA,2026-06-12,205.19
NVDA,2026-06-15,212.45
NVDA,2026-06-16,207.41
NVDA,2026-06-17,204.65
NVDA,2026-06-18,210.69
NVDA,2026-06-22,208.65
NVDA,2026-06-23,200.04
NVDA,2026-06-24,199.0
NVDA,2026-06-25,195.74
NVDA,2026-06-26,192.53
NVDA,2026-06-29,194.97
NVDA,2026-06-30,200.09
NVDA,2026-07-01,197.58
NVDA,2026-07-02,194.83
NVDA,2026-07-06,195.55
NVDA,2026-07-07,196.93
NVDA,2026-07-08,204.12
NVDA,2026-07-09,202.78
NVDA,2026-07-10,210.96
NVDA,2026-07-13,203.53
NVDA,2026-07-14,211.8
NVDA,2026-07-15,212.5
NVDA,2026-07-16,207.4
NVDA,2026-07-17,202.81
NVDA,2026-07-20,203.28
NVDA,2026-07-21,207.29
NVDA,2026-07-22,212.06
NVDA,2026-07-23,208.76
NVDA,2026-07-24,206.84
NVDA,2026-07-27,196.51
GOOGL,2022-01-03,143.72
GOOGL,2022-01-04,143.13
GOOGL,2022-01-05,136.56
GOOGL,2022-01-06,136.54
GOOGL,2022-01-07,135.81
GOOGL,2022-01-10,137.45
GOOGL,2022-01-11,138.51
GOOGL,2022-01-12,140.19
GOOGL,2022-01-13,137.37
GOOGL,2022-01-14,138.25
GOOGL,2022-01-18,134.8
GOOGL,2022-01-19,133.93
GOOGL,2022-01-20,132.14
GOOGL,2022-01-21,129.21
GOOGL,2022-01-24,129.65
GOOGL,2022-01-25,125.82
GOOGL,2022-01-26,128.1
GOOGL,2022-01-27,127.87
GOOGL,2022-01-28,132.18
GOOGL,2022-01-31,134.11
GOOGL,2022-02-01,136.43
GOOGL,2022-02-02,146.7
GOOGL,2022-02-03,141.83
GOOGL,2022-02-04,142.03
